ID;SRC;TAR
10672;taimeliikide reintroduktsioon;повторное заселение видов растений
10683;kohalik metsastamine;местное облесение
10685;tuuleheide;бурелом
10692;metsakasutus;эксплуатация лесных ресурсов
10693;mägimets;горный лес
10695;mediterraanne mets;средиземноморский лес
10696;eramets;частный лес
10699;makja;маквис
107;halduspädevus;административная юрисдикция
10703;kuivmuru;засушливая земля
10704;taimla;питомник
10706;metsakaitse;защита лесов
10707;looduslik taastumine;естественная регенерация
10708;vaigutaim;смолосодержащее растение
10711;keskmets;выращивание подлеска
10721;mäng;игра
10744;koorikloomakasvatus;разведение моллюсков
10753;austrikasvatus;разведение устриц
10758;töönduspüük;промышленная рыбная ловля
10760;riiklik kalavesi;национальный рыбный заказник
10773;võistluseksam;конкурсный отбор
10778;täiendusõpe;непрерывное образование
10780;algväljaõpe;начальное образование
108;haldusõigus;административное право
1082;buss;автобус
10833;riigi funktsioon;общественная функция
10837;töökorraldus;организация работы
10851;üldkasutatav rajatis;общественное сооружение
10860;jalgrattatee;велосипедная дорожка
10861;suusarada;лыжня
10884;turismimarsruut;туристический маршрут
10890;keskkonnamuuseum;экомузей
10892;üldsuse osavõtt;участие общественности
10893;turistikülastatavus;участие туристов
10904;üldsus;общественность
10905;rada;путь
10906;rannarada;пешеходная тропа вдоль побережья
10907;haridustee;учебная тропа
10909;mereäärne suvituskoht;морской курорт
1091;liblikas;бабочка
10910;mäestikupuhkeala;горный курорт
10911;talispordikeskus;лыжный курорт
10914;turismiühik;туристический объект
10915;maastur;внедорожник
10918;asustustihedus;плотность населения
10919;noor;молодежь
1092;nööppatarei;элемент питания
10922;tööjõuline elanikkond;экономически активное население
10925;ajajaotus;распределение времени
1093;kaaspüük;сопутствующий улов
10931;kaubad ja teenused;товары и услуги
10932;ajabilanss;временной ресурс
10933;elukeskkond;жизненная среда
10935;toote olelustsükkel;цикл жизни продукта
10938;kvaliteedisertifitseerimine;сертификация качества
10939;elustandard;стандарт жизни
1094;kõrvalsaadus;сопутствующий продукт
10940;pakkumine ja nõudmine;спрос и предложение
10959;ökoloogiline ebavõrdsus;экологическое неравенство
10960;sotsiaalne ebavõrdsus;социальное неравенство
10971;sotsiaalpsühholoogia;социальная психология
10972;sotsiaalne esindatus;социальные ориентиры
10976;loodushoolivus;любовь к природе
10977;sotsioökonoomika;социоэкономика
1098;kaabel;кабель
10980;juurdepääsuõigus haldusdokumentidele;доступ к административным документам
10981;haldusakt;действие администрации
10985;kohalik omavalitsus;правительство территории
10986;otsustussabi;поддержка процесса принятия решений
10988;ministri kompetents;компетенция министра
10991;kodanik;гражданин
10992;kohalik omavalitsus;местное правительство
11;abiootiline tegur;абиотический фактор
1100;kaadmium;кадмий
11007;haldusmeetmete põhjendamine;мотивы для административных действий
1101;kaadmiumsaastus;загрязнение кадмием
11016;majanduskava;экономический план
1103;tseesium;цезий
11030;toetusraha;финансовая помощь
11031;rahvusvaheline abi;международная помощь
11032;riigi abi;государственная помощь
11035;analüütiline konto;приложения к бухгалтерскому отчету
11038;majapidamiskulud;расходы семейного бюджета
11039;riiklikud kulutused;государственные расходы
11043;interventsioonifond;фонд непредвиденных расходов
11045;Euroopa Valuutafond;Европейский валютный фонд
11046;Rahvusvaheline Valuutafond;Международный валютный фонд
11050;sisemajanduse kogutoodang;валовый внутренний продукт
11051;erakordne maks;исключительный налог
11055;protsessianalüüs;анализ процессов
11057;audit;аудит
11061;looduspärandi hindamine;оценка природного наследия
11063;vee hind;стоимость водоснабжения
11065;mahekaubandus;экологическая торговля
11069;isalik juhtimine;популизм
11082;veehinna määramine;установление цен на воду
11087;keskkonnateooria;теория окружающей среды
11089;kaubandustegevus;торговая деятельность
11095;kohalik areng;развитие регионов
111;halduskohtumenetlus;административная процедура
11100;vabakaubandus;свободная торговля
11103;arengumaa;наименее развитая страна
1111;kaltsium;кальций
11116;tihedus;плотность
11118;ruumiline jaotus;пространственное распределение
11119;majandusandmed;экономические данные
1112;kaltsiumisisaldus;содержание кальция
11124;indeks;перечень
11125;rahvaloendus;перепись населения
11127;statistiline rida;статистическая подборка
11128;arvamusuuring;опрос мнения
1113;arvutusmeetod;метод калькуляции
11133;aastajalised muutused;сезонные изменения
11134;teadusnõukogu;научный комитет
11135;teadusvaidlus;научный спор
1114;kaliibrimine;калибровка
11146;rakendusuuring;прикладное исследование
11148;teaduslik uurimistöö;научное исследование
11152;agronoomia;агрономия
11153;agroökosüsteem;агросистема
11159;maaelu arendamine;развитие сельских областей
11165;hüdromelioratsioon;мелиорация
11170;talupidamistehnika;сельскохозяйственные методы
11186;keemiline taimekaitse;обработка сельскохозяйственных культур химикатами
11187;taimestikpuhastus;фитосанитарная обработка
11192;linnukasvatus;птицеводство
11198;aretusmeetod;методы животноводства
112;haldussanktsioon;административная санкция
11201;mineraalne;минеральная добавка
11204;kuivendamine;осушение
11207;kriit;мел
11209;lämmastikväetis;азотное удобрение
1121;telkimine;кемпинг
11211;fosfaatväetis;фосфорное удобрение
11212;kaaliumväetis;калийное удобрение
11214;pinnaspuhastus;естественная очистка почвы
11224;mulla leostumine;выщелачивание почвы
11226;mineraalaine;минеральное вещество
11227;orgaaniline aine;органическое вещество
1123;laagrikoht;площадка для кемпинга
11231;kuivendussüsteem;водосборная система
11232;niisutussüsteem;ирригационная система
11233;mulla soolsus;соленость почвы
11237;mäestikumajandus;управление горными районами
11244;turismikorraldus;управление туристической деятельностью
11246;metsaettevõte;предприятие лесного хозяйства
11248;seadmestuskava;план установки оборудования
11259;lähenemine;подход
1126;kanal;канал
11269;raudteejaam;железнодорожная станция
11270;bussijaam;автобусная остановка
11272;masinatehas;инженерная работа
11276;raudteevõrk;сеть железных дорог
11277;teedevõrk;сеть автомобильных дорог
11294;kaubalaevandus;торговое мореплавание
11296;segaveod;комбинированные перевозки
11307;linnakogukond;городское сообщество
11308;linnaehitusdokument;документ городского развития
11309;äärelinn;пригородная территория
11321;maakasutuskava;план использования земли
11322;asulate planeerimine ja ehitamine;городское планирование и развитие
11323;maakasutussuhe;режим использования земли
1133;vähioht;риск онкологического заболевания
11332;uus linn;новый город
1134;koerlane;псовый
11344;maaarhitektuur;сельская архитектура
11345;rahvaarhitektuur;традиционная архитектура
11355;ehitiste lammutamine;снос зданий
11359;munitsipaaltehnika;строительство городских сооружений
11375;ehitiste restaureerimine;реконструкция зданий
11427;õiguslikku tähendust omav avaldus;торжественная клятва
11429;kvaliteedistandard;стандарт качества
11430;Euroopa standard;европейский стандарт
11433;tehnoeeskiri;техническое руководство
11466;kodeerimine;кодификация
11468;doktriin;доктрина
11477;loomaõigused;права животных
11478;tulevaste põlvede õigused;права последующих поколений
11479;kodanikuõigused;гражданские права
1148;auto;автомобиль
11489;teatis;извещение
11490;ringkiri;циркулярное письмо
11493;Euroopa Ühenduse määrus;решение Сообщества
11497;halduskoolitus;административная подготовка
11498;tehnikaõpe;техническое обучение
11499;õigus;право
11502;jahiluba;лицензия на охоту
11504;ehitusluba;разрешение на строительство
11506;kalapüügiluba;лицензия на рыбную ловлю
11508;seaduseelnõu;проект закона
11514;reguleerimine;регулирование
11517;direktiivide ülevõtmine;транспозиция директивы
11521;kontsessioon;концессия
11522;avalik arutelu;общественная дискуссия
11523;avalikuks kasutamiseks määramine;объявление предприятием общественного назначения
11526;riigile kuuluv mereala;государственное морское судоходство
11527;juurdepääsuõigus;право доступа
11531;avalik arupärimine;общественный запрос
11532;delegeeritud juhtimine;делегированное управление
11535;riigikontroll;государственный контроль
11536;servituut;сервитут
11540;kuritegu;преступление
11548;politseivõim;право осуществлять охрану порядка
11549;kriminaalmenetlus;процедура уголовного права
11556;kohtuotsus;приговор
11559;konflikt;конфликт
11563;kohtuasi;судебный процесс
11568;halduskohus;административный суд
11571;Euroopa Kohus;Суд Европейского Союза
11583;õigus;правосудие
1159;süsivesik;углевод
11594;kohus;суд
1160;süsinik;углерод
11611;rendileping;аренда
11612;sertifitseerimine;сертификация
11618;kohtuniku kinnitus;признание действительным
1162;karbonaat;карбонат
11623;ostueesõigus;преимущественное право покупки
11624;igamine;право давности
11627;repressioon;репрессия
1164;süsinikuringe;круговорот углерода
11641;hajureostus;загрязнение из различных источников
11642;olmereostus;загрязнение бытовыми отходами
11644;orgaaniline reostus;органическое загрязнение
11648;jõkkeheide;сброс отходов в реку
11649;kõrvaldamine maa alla;захоронение отходов в грунт
11651;linnareoaine;городское загрязняющее вещество
11671;ülihappesus;высокий уровень кислотности
11675;biosaastus;биологическое заражение
11676;kemikaalisaastus;химическое заражение
11691;kvaliteedieesmärk;качественный целевой показатель
11692;kübe;твердая частица
11693;puhastusvõime;очистительная способность
11700;sensor;датчик
11702;metroloogia;метрология
11706;vaatlussatelliit;спутник слежения
11713;atrasiin;атразин
11714;orgaaniline lämmastik;органический азот
11718;halogeenitud ühend;галогенизированное соединение
11734;väävelmonooksiid;моноксид серы
11745;püraleen;пирален
11752;asbestoos;асбестоз
11762;genotoksilisus;генотоксичность
11763;joove;интоксикация
1177;korjusekäitlus;утилизация трупов животных
11771;biotest;биологический опыт
11779;orgaanilise süsiniku üldsisaldus;общее содержание органического углерода
11781;keemiline lagunemine;химическое разложение
11786;biootiline indeks;биотический индекс
11788;lahustunud hapnik;растворенный кислород
11791;lahustumatu aine;нерастворимое вещество
11792;mittelenduv aine;нелетучее вещество
11794;lenduv aine;летучее вещество
11795;keemiline korrodeeruvus;подверженность химической коррозии
1181;kantserogeensustest;тест на канцерогенность
11813;keemiasaadus;химический продукт
11835;kuulmiselund;органы слуха
1184;kardioloogia;кардиология
11852;enteroviirus;энтеровирус
11868;loomabioloogia;биология животных
11869;taimebioloogia;биология растений
11879;kuulmisteravus;острота слуха
11889;detsibell;децибел
11896;helikvaliteet;акустическое свойство
1190;Kariibid;Карибский регион
11909;müraspekter;спектр звука
11912;mehaaniline vibratsioon;механическая вибрация
11921;taustmüra;фоновый шум
11922;veeremüra;дорожный шум
11927;akustiline mugavus;акустический комфорт
11967;hüdroelektrienergia;энергия ГЭС
11974;väikejõujaam;маломощная электростанция
11975;vesiveski;водяная мельница
1198;keskkonnamahutavus;экологическая емкость
1199;edasikandumine toitumisahelas;эффект переноса
11990;jõujaama sulgemine;отключение электростанции
120;adsorptsioon;адсорбция
1200;kartograafia;картография
12006;kiire reaktor;реактор на быстрых нейтронах
12008;atmosfääriaerosool;атмосферный аэрозоль
1201;autorehv;автомобильная шина
12011;biokütus;биотопливо
12017;etanool;этанол
12022;liiklussaastus;загрязнение выхлопными газами автомобилей
1203;müügikultuur;товарная сельскохозяйственная культура
12045;paleoklimatiloogia;палеоклиматология
12060;mandrikliima;континентальный климат
12061;kõrbekliima;пустынный климат
12062;ekvatoriaalkliima;экваториальный климат
12064;mägikliima;горный климат
12065;ookeanikliima;морской климат
12066;parasvöötmekliima;умеренный климат
12067;troopikakliima;тропический климат
12084;äike;гроза
1209;katalüüs;катализ
12091;jäide;ледяная корка
12096;põhjaveevõtt;эксплуатация подземных водных ресурсов
12098;vee imbumine maasse;просачивание воды в грунт
121;täisealine;взрослый человек
1210;katalüüt;катализатор
12104;põhjaveepind;уровень стояния грунтовых вод
12107;valglakaitse;охрана водосборных бассейнов
12108;põhjaveekaitse;охрана грунтовых вод
12122;suurveeäravool;паводковый сток
12128;hüdromeetria;гидрометрия
1213;katastroof;катастрофа
12139;sedimentoloogia;седиментология
12145;valgla;гидрографический бассейн
1215;valgla;водосбор
12161;soo;трясина
12165;vee magestamine;опреснение воды
12171;ookeanikasutus;эксплуатация ресурсов океана
12174;ummiklainetus;морской вал
12183;estuaarireostus;загрязнение эстуария
12189;jõe majandamine;управление водными путями
12199;kanalilüüs;шлюз
122;täisealisekoolitus;обучение взрослого населения
1220;kalasaak;улов
12202;veetaimestiku niitmine;удаление водяных сорняков
12204;kaldakindlustus;защита берегов
1221;eriti ohustatud liigid;исчезающий вид
12210;veehoidla;водохранилище
12213;veehoidla tühjendamine;спуск водохранилища
12215;vee kvaliteedi parendamine;улучшение качества воды
12216;vee maitse;вкус воды
12220;heljuvaine;взвесь
12226;vee soolsus;соленость воды
12231;veepüüdemahuti;дренаж
1224;katioon;катион
12240;purskkaev;фонтан
1225;veised;скот
12254;vee demineraliseerimine;деминерализация воды
12260;reovee ühispuhastus;очистка объединенных стоков
12263;valinguveemahuti;резервуар для дождевой воды
12275;lahkvoolukanalisatsioon;раздельная сточная система
12276;ühisvoolukanalisatsioon;комбинированная сточная система
12277;vee õhustamine;аэрация воды
12278;reovee omapuhasti;индивидуальная система очистки стоков
12283;kasutatud vesi;отработанная вода
12284;asulareovesi;городские жидкие отходы
12285;jäätmekäitlusreovesi;жидкие отходы после обработки
1229;muretundmispõhimõte;причина озабоченности
12293;vee isepuhastus;регенерация воды
12301;veemajandus;управление водными ресурсами
1231;koobas;пещера
12318;jäätmesortimisettevõte;предприятие по сортировке мусора
12321;vanarauapanila;свалка скрапа
12325;taaskasutustööstus;промышленная переработка твердых отходов
12342;jäätmete kasutamine materjalina;использование отходов
12349;rannapuhastus;очистка побережья
12357;suurjäätmed;крупногабаритные мусор и отходы
12366;leelisaku;щелочной элемент питания
12367;elektripatarei;аккумулятор
12379;tervishoiujäätmed;отходы учреждений здравоохранения
12383;kaevandamisjäätmed;отвальные породы
12390;vrakk;остовы разрушенных судов
12394;mineraalõli;минеральное масло
12395;vadak;сыворотка
12431;põletusjääk;остатки после сжигания отходов
1244;tselluloos;целлюлоза
12441;jääkmuda;остаточный сточный ил
12444;tihendamine;загустение
1245;tselluloositööstus;целлюлозная промышленность
12450;tööstustegevus;промышленная деятельность
12456;tööstusjäätmaa;заброшенная промышленная территория
12459;salastatud rajatis;режимный объект
1247;tsement;цемент
12471;tükeldamine;разделка туш животных
12476;sigala;свиноводческое хозяйство
1248;tsemenditööstus;цементная промышленность
12482;naftatootmisahel;производство нефти
12485;süsivesinikumahuti;хранилище углеводородных материалов
12488;naftapuurimine;бурение нефтяных скважин
1249;tsemendi tootmine;производство цемента
12514;masinatööstus;производство механических приборов
12525;puidutöötlusahel;комплексное производство древесины
12576;biofiltrimine;биофильтрация
12586;inseneriteadus;инжиниринг
12587;metaankääritamine;метанирование
1259;keskvalitsus;правительство федерального уровня
12599;aeroobne puhastus;аэробная обработка
12600;anaeroobne käitlus;анаэробная обработка
12606;füüsikaline käitlus;физические методы обработки отходов
12607;reovee eelselitus;первичная обработка
12608;reovee biopuhastus;вторичная обработка
12609;reovee süvapuhastus;третичная обработка
1261;tsentraliseerimine;централизация
12611;klaasistumine;витрификация
1262;tsentrifuugimine;центрифугирование
12656;allmaakivimurd;подземная каменоломня
1266;keraamika;керамика
12665;geotehnika;геотехника
12666;kivimite mehaanika;горная механика
1267;keraamikatööstus;производство керамических изделий
12676;võsakoristus;вырубка кустарников
12677;metsapõlengute vältimine;предотвращение лесных пожаров
12717;pinnase stabiilsus;стабильность почвы
12721;vulkanoloogia;вулканология
12746;maavärinaohutust reguleerivad normid;антисейсмические нормативы
1275;vaalaline;китовые
12763;elanike ohutus;гражданская оборона
12764;töökaitse;техника безопасности на производстве
12778;riskiolukord;вероятность кризисной ситуации
12784;tootmisõnnetus;техногенная авария
12790;ökokatastroof;экологическая катастрофа
12793;tuumaoht;опасность ядерной аварии
1280;kaubandusketi juhtimine;управление производственной цепочкой
12808;ohtlik ettevõte;опасный объект
12814;biotehnoloogiaoht;биотехнологическая угроза
12816;tuumarisk;ядерный риск
12819;ohtlike materjalide vedu;транспортировка опасных материалов
12849;õnnetuspiirkond;зона бедствия
1286;väärtuse muutumine;изменение стоимости
12861;ohuanalüüs;анализ опасности
12866;preventiivinformatsioon;предупреждающая информация
1288;jaotusvõrk;системы распределения
12887;kahjukindlustus;страхование от ущерба
12898;kahju hindamine;оценка ущерба
129;toote reklaamimine;реклама товаров
12900;hinnang;оценка
12905;kahju hüvitamine;компенсация ущерба
1291;kokkuleppeline tasu;договорная цена
12912;ametiasutus;государственный орган
12923;nõustaja;консультативная практика
12977;patent;патент
1298;keemiline analüüs;химический анализ
12985;kõne;речь
1299;keemiline koostis;химический состав
13;absorptsioon;абсорбция
13000;kinofilm;кинофильм
13001;dokumentaalfilm;документальный фильм
13017;aruanne ministrile;доклад министру
13021;parlamendiaruanne;парламентский доклад
13025;õigusaktitekst;официальный текст
13026;väitekiri;тезис
1303;kemikaalisaasta ärastamine;химическая дезактивация
1306;keemilise õhusaasta sadenemine;химические осадки
13060;infovõrk;информационная сеть
13088;meetod;метод
1310;keemiatööstus;химическая промышленность
13100;linnaelupaik;городская среда
13101;loodusfauna;дикая фауна
13102;maa korraldus ja planeerimine;планирование и управление землепользованием
13106;põhjavee kvaliteet;качество подземных вод
13107;eesmärgi seadmine;экологическое прогнозирование
1311;keemiatööstushoone;здание для химического производства
13111;ontogenees;онтогенез
13115;maamaks;налог на землю
13117;muruväljak;газон
13118;bioloogiline aineringe;биологический цикл
1312;keemiline okeanograafia;химическая океанография
13120;inimese elupaik;среда обитания человека
13121;rahvastiku koondumine linnadesse;концентрация городского населения
13122;koduaed;личный огород
13123;fotograafia;фотография
13124;pudelikork;крышка для бутылки
13127;vanaraud;металлический скрап
13135;hääletamine;голосование
13136;põllumajandusehitis;основные фонды сельского хозяйства
13137;eelarvepoliitika;бюджетная политика
13142;koostööpoliitika;политика сотрудничества
13143;rahvusvaheline tasakaal;международный баланс
13145;Euroopa Üheduse finantsid;финансы ЕС
13146;õigussüsteem;организация правовой системы
13147;õigused;права
13148;majanduse struktuur;экономическая структура
13149;hulgikaubandus;оптовая и розничная торговля
13151;monetaarökonoomika;монетарная экономика
13152;kapitali vaba liikumine;свободное движение капитала
13154;sotsiaalraamistik;социальная структура
13156;sotsiaalne kaitse;социальная защита
13159;äriettevõtlus;организация бизнеса
1316;keemiatööstusettevõte;химический завод
13160;ettevõtete liigitus;классификация бизнеса
13161;organisatsiooni seaduslik vorm;юридическая форма организаций
13164;maaviljelus;возделывание сельскохозяйственных земель
13165;põllumajanduslikud tootmisvahendid;средства сельскохозяйственного производства
13167;töödeldud põllumajandussaadus;переработанная сельскохозяйственная продукция
1317;keemiapoliitika;политика в области химии
13170;majandusgeograafia;экономическая география
13178;vabadus;свобода
13179;tööstusehitis;структура промышленности
13182;laovaru;торговые запасы
13184;ettevõtete keskkonnaökonoomika;экологичная экономика частных компаний
13188;söödataim;фуражная сельскохозяйственная культура
13189;tehniline kultuur;техническая сельскохозяйственная культура
13190;kiudtaim;текстильная сельскохозяйственная культура
13191;troopikataim;тропическое растение
13193;põllumajandusettevõte;сельскохозяйственная единица
13195;geofüüsikaline keskkond;геофизическая среда
13196;naftakeemiasaadus;нефтехимический продукт
13197;eriotstarbeline kemikaal;специальный химический продукт
13198;valgusaadus;белковый продукт
13199;töödeldud toiduaine;обработанный продукт питания
1320;keemiline protsess;химический процесс
13200;kiirtoit;продукт питания быстрого приготовления
13202;kaevandamissaadus;продукт разработки полезных ископаемых
13205;juurvili;корнеплод
13207;maaviljelussüsteem;система культивации
13209;taimekasvatus;производство зерновых культур
13210;kalanduse struktuur;структура рыбопромысловой отрасли
13212;söetööstus;угольная промышленность
13213;energiatööstus;производство энергии
13214;sideala;индустрия связи
13215;infotehnoloogiatööstus;индустрия информационных технологий
13216;vaakumtööstus;вакуумное производство
13217;müügiks ettevalmistamine;предпродажная подготовка товара
13218;peenmehaanika;точное машиностроение
13219;materjalide tehnoloogia;технология материалов
1322;keemiline omadus;химические свойства
13220;sõjavarustus;военное оборудование
13221;audiovisuaalseadmed;аудиовизуальное оборудование
13223;mehaaniline sisseseade;механическое оборудование
13225;soojussisseseade;тепловое оборудование
13226;tööstustootmine;промышленное производство
13231;haldustöö;административная должность
13232;ehitusteenindus;строительная услуга
13233;vedamisviis;вид транспорта
13234;veose sihtkoht;пункт назначения при транспортировке
13236;keskkonna seisundi halvendamine;вырождение окружающей среды
13237;Euroopa Ühenduse eelarve;бюджет Сообщества
13238;majandusabi;экономическая помощь
1324;keemiline reaktsioon;химическая реакция
13240;majanduslik prognoos;экономическое прогнозирование
13241;tollimaks;таможенный тариф
13242;kaubandustehing;коммерческая сделка
13245;Euroopa valuutasüsteem;Европейская валютная система
13247;valuutavahetuspoliitika;торговая политика
13249;riigivõlg;государственный долг
13250;tarbimismaks;налог на потребителя
13251;kapitalimaks;налог на капитал
13252;tulumaks;подоходный налог
13253;maksustamispoliitika;политика в области налогообложения
13254;tootjahind;закупочная цена
13255;turuhind;рыночная цена
13256;veokulu;транспортные расходы
13257;hinnapoliitika;политика в области ценообразования
13259;ettevõtte struktuur;структура компании
1326;keemiaoht;риск от химического воздействия
13260;finantsjuhtimine;управление финансами
13263;konkurentsipiirang;ограничение конкуренции
13265;rahvusvaheline avalik õigus;публичное международное право
13266;rahvusvaheline majandusõigus;международный экономический закон
13268;kriminaalvastutus;уголовная ответственность
13269;riiklik leping;государственный контракт
1327;kemikaal;химикат
13270;tollieeskiri;таможенный нормативный документ
13271;perekonnaõigus;семейное право
13273;põllumajandusse puutuvad määrused;регулирование сельскохозяйственного производства
13275;kinnisvara rentimine;сдача внаем недвижимости
13278;kaubanduse piiramine;ограничительная торговая практика
13281;Euroopa Ühenduse õigussüsteem;правовая система ЕС
13282;Euroopa Ühenduse õigusakt;закон ЕС
13283;määrus;постановление
13284;kohtumenetlus;юридическая процедура
13285;juurdepääs õigusmõistmisele;доступ к судебным органам
13286;organisatsioon;организация
13287;õigustalitus;юрист как профессия
13288;õigussüsteem;юридическая система
13289;haldusorganisatsioon;административная организация
13290;juriidiline protseduur;законодательная процедура
13291;juhtimistehnika;метод управления
13292;institutsionaalstruktuur;организационная структура
13293;institutsiooniline tegevus;ведомственная деятельность
13295;ühine tollipoliitika;единая тарифная политика
13297;ehituspoliitika;политика в области строительства
13299;tootmispoliitika;политика в области производства
13300;kosmosepoliitika;политика в области космоса
13301;majanduspiirkond;экономический регион
13303;humanitaarabi;гуманитарная помощь
13304;rahvusvaheline konflikt;международный конфликт
13305;rahuvalve;миротворческие усилия
13307;haridustase;уровень образования
13308;üldharidus;общее образование
13309;koolitöö;вопрос школьной программы
13310;koolielu;школьное воспитание
13311;õppematerjal;методический материал
13312;dokumendisüsteem;система документирования
13313;sidevahendid;средства связи
13314;sidesüsteem;система связи
13316;andmetöötlussüsteem;система обработка данных
13317;ühiskonna analüüs;социальный анализ
13319;tervishoiuelukutse;профессия в области здравоохранения
1332;kemikaalide katsetamine;испытание химикатов
13320;kunstlik viljastus;методы искусственного воспроизводства
13321;loomatervishoid;здоровье животных
13324;sõjaohver;жертва войны
13325;sisemigratsioon;внутренняя миграция
13326;rahvastiku geograafiline jaotus;географическое распределение населения
13327;rahvastiku koostis;состав населения
13329;üksikisiku õigused;права личности
1333;keemiline struktuur;химическая структура
13330;majanduslikud õigused;экономические права
13333;arvamustrend;тенденция в общественном мнении
13335;poliitiline ideoloogia;политическая идеология
13336;perekonnaseis;семейное положение
13338;tööhõivestruktuur;структура занятости
13339;ametiseisund;профессиональный статус
13340;töösuhte lõpetamine;увольнение
13342;sotsiaalpuhkus;отпуск по социальным причинам
13343;tööjõud;рабочая сила
